country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality
Latvia,2013,5.069770336,9.96780777,0.834022582,64.98286438,0.630507529,-0.080164962,0.836553633,0.642102361,0.227449417,0.233799666,0.663091838
Latvia,2014,5.729115486,10.00226498,0.881255507,65.16068268,0.670653164,-0.050945744,0.803687513,0.652273059,0.225979373,0.229044721,0.690409839
Lithuania,2006,5.954442978,9.900592804,0.930439949,62.41413879,0.567254603,-0.302026033,0.966878653,0.621323466,0.25399825,0.205602363,0.833007574
Lithuania,2007,5.80828476,10.01761532,0.940791965,62.27702713,0.589662313,-0.289630949,0.966326058,0.589249313,0.279184252,0.26929301,0.818358541
Lithuania,2008,5.553925991,10.05384159,0.91366744,63.0782814,0.621060073,-0.267551273,0.960843027,0.532837272,0.275795698,0.161105841,0.76934123
Lithuania,2009,5.466920853,9.904610634,0.932608962,64.04663849,0.495955795,-0.310164988,0.978800118,0.52619791,0.270837814,0.126142234,0.742004871
Lithuania,2010,5.065824986,9.94184494,0.881810606,64.35728455,0.519352257,-0.282237262,0.962167203,0.473149508,0.27202931,0.114503264,0.78303498
Lithuania,2011,5.43243742,10.02312183,0.911411285,64.61651611,0.565797269,-0.155904844,0.963511646,0.569533467,0.274636686,0.18108657,0.740478635
Lithuania,2012,5.771037102,10.07417297,0.918690145,64.88002777,0.503027141,-0.281597167,0.956959248,0.580971003,0.277385563,0.145729542,0.82539618
Lithuania,2013,5.595689297,10.11912632,0.91251415,65.14353943,0.555815279,-0.245330006,0.936335504,0.580803812,0.293728739,0.384238273,0.926773012
Lithuania,2014,6.125723839,10.15863705,0.908239841,65.40705109,0.507947206,-0.272202909,0.956347883,0.619342983,0.286910683,0.344657153,0.871467173
Luxembourg,2009,6.957920074,11.37935352,0.938559353,70.80285645,0.939101696,0.11142116,0.431606978,0.799492657,0.238021523,0.824018121,1.479735494
Luxembourg,2010,7.097251892,11.41631317,0.952371716,70.79856873,0.908303082,0.07946597,0.423341334,0.808782876,0.216064394,0.768445313,1.500339746
Luxembourg,2011,7.101400375,11.41942024,0.934090614,71.1112442,0.961830735,0.089443497,0.3881706,0.836458564,0.200136617,0.770686686,1.454595089
Luxembourg,2012,6.964097023,11.38689804,0.913907707,71.46674347,0.916520953,0.042846926,0.402753204,0.815248728,0.227411717,0.743670523,1.482346773
Luxembourg,2013,7.130809307,11.40633488,0.916683257,71.82225037,0.789655447,-0.07069134,0.300811768,0.640379965,0.184799984,0.736690223,1.470666647
Luxembourg,2014,6.89112711,11.42309189,0.875469446,72.17774963,0.937987685,0.089400798,0.366286784,0.803083718,0.170409396,0.662738323,1.459797144
Montenegro,2007,5.196315289,9.504077911,0.831840634,64.1913147,0.512067258,-0.134358004,0.814567804,0.578938007,0.339850873,0.497209966,0.20915319
Montenegro,2012,5.218724251,9.533634186,0.704032779,64.82752991,0.46170637,-0.193067625,0.755059719,0.573610485,0.379281342,0.355399817,0.392855793
Montenegro,2013,5.074341774,9.567532539,0.735565186,64.92173767,0.502264977,-0.176818162,0.69337213,0.538980365,0.331081718,0.392235279,0.322948843
Montenegro,2014,5.282720566,9.58425808,0.862930357,65.01595306,0.50266552,0.095483765,0.768465519,0.58744204,0.367646754,0.402112842,0.207932994
Netherlands,2007,7.451879501,10.75475883,0.943854094,70.20897675,0.896018088,0.329523593,0.445436567,0.817750037,0.213335603,0.661945999,1.177703142
Netherlands,2008,7.631011963,10.7677145,0.944202244,70.34366608,0.883287251,0.350607425,0.418940485,0.788194716,0.181690425,0.617428839,1.200991988
Netherlands,2010,7.501875877,10.73296738,0.956536889,70.73917389,0.921448231,0.335051894,0.398591846,0.853233814,0.206079304,0.636186302,1.200301528
Netherlands,2011,7.563797951,10.74480247,0.938396096,71.17958832,0.92543155,0.321204662,0.359395891,0.862723231,0.181386188,0.603366792,1.337855458
Netherlands,2012,7.470715523,10.73047543,0.938884676,71.0919342,0.877118647,0.273785055,0.433753788,0.860640585,0.226289868,0.574513912,1.398276448
Netherlands,2013,7.406550407,10.72256088,0.924705446,71.0919342,0.918995857,0.290517181,0.504529953,0.866824448,0.23544322,0.542986929,1.35036993
Netherlands,2014,7.32118845,10.7296648,0.908995748,71.0919342,0.910179615,0.317489088,0.45694837,0.867766142,0.220656529,0.525242269,1.311287045
Norway,2006,7.415682316,11.0755558,0.958511293,69.56606293,0.959532738,0.07903748,0.397150129,0.831731081,0.197113186,0.682717204,1.391528249
Norway,2008,7.632287502,11.0854578,0.935878932,69.78147125,0.947288871,-0.011684164,0.502776325,0.791722357,0.155095205,0.540759981,1.415763736
Norway,2012,7.678277016,11.0606842,0.947657406,70.52483368,0.946565866,0.117872901,0.368042678,0.822749853,0.212821111,0.663340509,1.530023813
Norway,2014,7.444470882,11.06670189,0.941161931,70.52483368,0.956316173,0.151679561,0.404825836,0.833696604,0.194354936,0.699690521,1.420875072
Poland,2007,5.886137486,9.871006966,0.912639678,65.4719696,0.772223353,-0.056743991,0.925285518,0.760025561,0.237598762,0.187883481,0.742031097
Poland,2009,5.772027493,9.934649467,0.916798174,65.86458588,0.820649087,0.063643351,0.897762001,0.690350533,0.245965257,0.284511507,0.959546268
Poland,2010,5.887029648,9.973826408,0.95506531,66.34422302,0.794900477,-0.008275945,0.904697299,0.736897647,0.234237015,0.333801061,1.006679773
Poland,2011,5.646204948,10.02215958,0.904578626,66.77928162,0.868148923,-0.077175245,0.907953143,0.725359917,0.223810226,0.27237618,1.035938621
Poland,2012,5.87593174,10.03765869,0.935923874,66.82385254,0.811301708,-0.03693321,0.887895823,0.787489176,0.266746789,0.268628746,1.034356713
Poland,2013,5.746131897,10.05082989,0.911934912,66.86842346,0.775931358,-0.147569522,0.915677428,0.784124315,0.241980955,0.163588136,0.966957927
Poland,2014,5.750282288,10.08480167,0.923642278,66.91298676,0.875357091,-0.074922159,0.897741735,0.776996672,0.222643748,0.252522856,0.981654584
Portugal,2006,5.405246258,10.20768929,0.905289888,68.73809052,0.882068098,-0.18738021,0.880059004,0.708912194,0.333497614,0.452416807,1.076108217
